Comments,Labels
"Pension ministre pa bizin ena parski zot tombe, kokin trice, zot pa permanent kument government servent. Zot pa emplyer du guvenment. Zot travail, prend la pays c ki eta don zot com contrat de 5 ans.",0
Jacqueline Abraham Coutet,0
Zis 2 mandat pou ene pm.,0
I agree this idea.,0
C 1 plan de Mr R.Badhain sa,0
Dave Bhantooa,0
Bnz droit de diaspora. ğŸ‡²ğŸ‡ºğŸ‡²ğŸ‡ºğŸ‡²ğŸ‡ºğŸ‡²ğŸ‡ºâ™¥ï¸ğŸ’™ğŸ’›ğŸ’š,0
Sans oublier la cour supreme capave revoke any member of the parliament if they are involved in any criminal or fraud case without pay and loose their seat.Even the PM,0
Jamais pa pu kapav sanzer sa system la aret couyon dimoune pu zot bann fause ggt la,0
Capave change system la only when you realised you must dump all traditional parties and tell yourself such parties only favors some few rodeur boute,0
"Too right
Abolish yes man
Stop manipulation of election
Eliminate bribery,make the same an offence
Make it a crime for manipulation of videos
Stop intimidation and threat
Stop using religious platform to voice propaganda
Speaker should be chosen by the people
Encourage true patriotism
ğŸ‡²ğŸ‡ºğŸ‡²ğŸ‡ºğŸ‡²ğŸ‡ºâ¤ğŸ’™ğŸ’›ğŸ’šğŸ™ğŸ¤ğŸ‘",0
Baisse 50% la paye minis et tir tou fringe benefits. C tou.,0
Maurice Lesage et Guy Ollivry zot parti encore existÃ©?,0
TrÃ¨s Bonne Initiative,0
Yes agree,0
Je suis contente de changer.,0
"Deux suggestions:
1/. Point No.7, Mauriciens ki a l' exterieur pas necessaire votÃ©, parski zot pas conne la realitÃ© du sol. C soit Cki zot in trouver dans les medias, ou soit choix zot propre famille a Maurice ki pou influence zot.
2/. Point 25, Concernant le transport gratuit; besoin ki chaque personne ki voyage gratuitement ena un carte a puce ( un peu comme RHT). Et ki govt paye ban compagnies transport par rapport a ki cantitÃ© dimoune in voyage gratuitement ar zot.

- Sinon keep it up et bonne chance.",0
Pou environment et Animal welfare ?,0
Aboli Post PPS,0
Mo penser nou pou kapav travay ensemble et mo pou amene mo mini manifest et nou bizin ajuster.,0
Bizin diminier la paye parlementaire par o moin 75%. Mo croire ki zot capv bien vive avk rs40000 ou bien rs50000 et enplus pas bizin done zot ban gros berline pu rouler. Mo penser ki ene ministre capv voyage dan ene axio ou bie ene Nissan,0
La paye minis bizin baisse par 75/ pourcent zot pas pli xtra,0
Mete n la paye fix pu bne minis 50mille zote bien capave vive car ena dimoune pe vive zis r 10mille areter roule gro berline fer zote voyage par taxi coumsa tour de role tout taxi gagne lavi san distinction ninporte ki region,0
Pa bliÃ© ki constitution bien revoir,0
Pena aukun mesure pu relancÃ© Ã©conomie ek baisse banne article de base,0
Droit de vote pour nous Ã  l etranger avec forces,0
"BIZIN ARET ACHETER GROS BAGNOLE POUR BANNE DEPUTER
ZOT ZOOUIR L'ARGENT CONTRIBUABLE",0
Kozer missier Deenarain Lokee. Beh roshi so banm ti copain ki import ladrogue la. Pou laiss zot continuer zot bizness?,0
"eski kpav ggn 1 explication lors role ministre la santÃ© actuellement??????
parski kan ena bannes information Ã  communiquÃ© p trouve ziste Jubeir ek Gaud ou Moussangi.",0
mo approuve ou banne recommandations a 100%,0
"Ou program top, mais bizin fare ce qui au pouvoir la aller avant.",0
Bisin arreter ek communal dan banne circonscription . Met 3 non musulman dan plaine verte com example,0
Ou fin oublier ki celui qui frauder ou corrompu ds ban politiques bizin bani Ã  vie,0
Bizin aussi met ene la loi pour ban celui ki rode crÃ©e dÃ©sordre communal,0
Top net,0
"bisin enn FREEDOM OF INFORMATION act
bisin enn refome judiciare
bisin reforme la sante
Nous sommes en 2021!
Assez avek dynasties politiques",0
Supere TOP,0
Re fer csg vinn NPF. Sa li tres IMPORTANT. Minis finance actuel p xtra kokin nu cash. Avc NPF pendant 40 and mne paye rs.250. Depi Septembre dernier mo p paye Rs.1776. Xtra kokin p kokin nu. Mo enan tous preuves dan payslips,0
Bne bangla deshi ki p travay moris pas bizin gagne droit de vote. Zis ceki enan carte indenter Moricien ki bizin voter,0
Shah Khan oui sinon ils finiront en Bangladesh car c'est une Ã©lection pour les mauriciens.,0
A good decision dear top net ğŸ‘ğŸ‡²ğŸ‡º,0
Baisse la paye par 25% sa meme? Eh oula 50% ki bizin...,0
"encourage tou zeness, fer la musiques,peintures, theatre et danse.....self development[ montrer comment visualiser, comment les affirmations positives aides et la meditation et tous les bienfait que cela aporte au mental et au corp ] tous sa bizin vine des nuvo choix sujet dans le cursuse scolaires, et osi depenalise Canabis une fois pour toute , arreter de diaboliser ce cadeaux que nous a offert la nature...",0
your program is great so far bro...hope more people will be sharing there ideas about the type of Mauritius we wanna live in,0
Vraiment interessante vos recommandations la...hope something positive move rightly and people aware of our right and claim it...a democracy country must have these fondamental requisities!ğŸ‘,0
Gud initial proposition,0
Legaliz gandia ek LGBT,0
Moi mo dire ki la pye minis ek depute bizin baisser par o moin 50%,0
Bisin revoir pension invalid beaucoup dans Maurice declare maladie et dautre qui vraiement merite pas p gagne zotte pension. Bisin revoir la loi : garÃ§on ek tifi bien amuse apres parent galoppe alle la police dire case rape sa.... a cause tifi enbas 18 ans b si dans le case garÃ§on la enbas 18 ans qui arrive????,0
Neelam Mootin B acoz samem ki rape pa pou diminier. Enfin!,0
Bann points la bien valid,0
"Bane point la top
Baisse la paie 50% au lieu 25%

Et bisin revoir sa bout kot zot dir vote pou vine obligatoir
Dimoune bisin ena choi si li voter ou pa
Pa capv oblize li
Sinon program la top",0
JD Maurice Ã©na so raison.. Ki Fer nous finn met vote obligatoire.! Mais nous pou osi mÃ©tÃ©.. Seki pas envi votÃ©.. Li bizin Fer konÃ©.. Car bokou dimoune mort pÃ© votÃ© et Bangladeshi pÃ© votÃ© et pÃ© astÃ© carte identitÃ© pou pas al votÃ©.! Li dans l'intÃ©rÃªt lÃ©pep ki met vote obligatoire..pou ki la vrai dÃ©mocratie exprimÃ©.!,0
JD Maurice concernant baisse la paye li pou 25%..mais nous pou osi elimine tous facilitÃ© ki bann parlementaire gagnÃ©.,0
"ok boss, mo bien aprecier oune reply moi, en tout cas mo pret donn zot enn coud main. ğŸ‘",0
JD Maurice merci SOLDATS,0
"bane bon points ki ou fine meter. Ena ban points ki bizin alle plis en depth. Ena beacoup ban points ki veut dire bizin change constitution - ca li pu demande ene in depth study and research. Beaucoup dimoune pe dire ki nou bizin change sa system Anglais depuis 1968. eski nou bizin change nous systeme judiciere - break ties with Privy Council et instead faire highest court of decision in land in Mauritius? what would that mean for the current lawyers and students of law and the law in Mauritius presently? aussi point 4 -Ã‰limine tous bann pension PrÃ©sident, Vice-PrÃ©sident, Minis, DÃ©putÃ© et aussi bann facilitÃ© ki pÃ© donne zot. li ene bien bon idÃ©e mais en practique ki incentive ki ban dans pouvoir ena pou quitte pouvoir. Guette ban les autres pays l'Afrique - beacoup ban presidents pa ouler quitte zot poste parcequi zot pena benefit /incentive pu quitte sa poste la. Li en bon start pu en program qui bizin developer plus. Bring in ban experts, ban jeuness, ban etudiant et la population pu discutte ca plus. Apart sa - well done pu develop sa programme la",0
Richard Philippe Nous pas pou kapav change nous systeme judiciaire tant ki nous pas change nous systeme..ki finn corrompu..depi 1983..! Ou kapave peut etre remarke...ki vrais vinn foss et foss vinn vrai dans nous systeme judiciere. Ene grand lexemple...coffre Fort navin Ramgoolam...lepep entier finn trouver ki couma finn gagne sa cash la ar li...mais li sorti nil...alors pas kapav fer confiance sa systeme la tant ki nous pas change li..lerla kapav trouve bann moyen pou change seki ou pe dire..! Concernant elimination bann pension...Sa bizin fer ...car zot pas bann employer lepep...zot zis locataire..!,0
Deenarain Lokee dernier bout la mo d'ac zot zist locataireğŸ™„ğŸ™„,0
merci Deenarain Lokee,0
Mo truv zot bien en ligne avec 100% Citoyen. Zot agenda bien similaire. Check 100% Citoyens so page facebook ena so agenda laba. Mo pa compren kifer zot p rode fer ene lot parti malgrÃ© ki mo apprecier ki zot ena laudace pou al dans election. Vue ki 100 % Citoyens ine fini demarÃ© et ena ene certaine longeur davance. Kifer zot pas join la main ensam. Union fera la force. Eclairci moi svp. Sandy Custnea,0
"NaÃ¯m Mowla thanks for the info brother I will try to keep in touch with 100 % citoyens in the near future we havenâ€™t completed all of our program as we will add more and a team working on it both national and international levels and we will launch our website n everything soon.
Our hands are wide opens for any new ideologies and comments",0
"NaÃ¯m Mowla Sorry Frere... CÃ©st Bann La ki finn kokinn nous programmes... ! Sa Programmes ...C'est moi ek Rajiv Lallsa ki finn prepare sa...dans ene certain temps Reform Party ti kokinn nous programmes,...aster 100% Citoyens...lol...! Problemes ki nous pas pe alle rode boute couma certains...nous ena ene lekip nouvo ek ene systeme nouvo...Nous pas bann one man show couma certain dans 100%",0
Deenarain Lokee ban roder role sa...so osi p cokin aster ğŸ˜ğŸ¤ª..mo esperer zot kpav realise li si!!!!,0
"Non la mo pa dakor. ""Who copied from whom"". Kuma dir parole dinosaur sanla. En tout cas foder mone vine lor ca group la pou mone tan ou nom et depi 3 ou 4 jours ki ou p dir ouvertment ki zot p monte ene parti politic. Par contre depi 2018 mo p suive levolution de 100% Citoyens et zot ine propose ban relancement economic realisable plus ca ban modification administratif ki zot ine mentioner la haut la. I can tell who copied by reading only.",0
Sandy Custnea bro im glad and proud of you for this big step.,0
"Zotte programme bien interesant, ceki mo pa dakor, kifer zotte pe faire concurence avec ene lotte groupe ki pe amene meme combat ki zotte, ca se ene mauvais l'impresion ki zotte pe donne, couma sa bane chasseur pouvoir la , l'histoire ine montre nu, plusieur ti parti ine rivalise avec sa banne dinausaure la et vote population ki le changement eparpille, sa faire l'affaire bane dino.alors au lieu vine laguerre(ti nu l'idee avant ou si pa ki sipremacie) trouve ene consensus propose ene sel force uni divan sa bane la...si zotte pa capave faire sa mo bien chagrin pou dire zotte ki pou ena bc hesitation ,electorat pou doute de zotte sincerite a change nu societe .",0
NaÃ¯m Mowla dakor c Paz rÃ©cemment ki 100% n propose cela mais depuis avant.tir l'ego met de cÃ´tÃ© ou concours de la plus grosse bite et zoine causÃ© ensuite donne ou l'opinion.personne pas maÃ®tre du savoir,0
Interesting,0
Ki sanla so Leader sa ?,0
Oui dacor avec ou,0
Everyone should use their personal cars only petrol allowance given to them. Metro p traverse lile...Donne lexemple kit ou loto voyage par metro...si ou honete Pena pou peur dimoune,0
"B li ek so program la li daccord govt pu r li fuck....
Please gramatin li signed contract la veille nomination day ek mem jour li al Dan MSM
Metro pas ti dac astÃ¨re p dac
Sorry line kouyone ou mais pas moi hahahaha",0
Ashvin Heeramun Sorry Bhai..pas Alan Ganoo so program sa....hahahaha,0
Deenarain Lokee ha ha aha,0
N joke SA bayo,0
entiÃ¨rement d'accord avec les motions de Mons Lokee.,0
"Baisse la paye ministre la par 25% trop tigin sa... Ou alors bizin augmente salaire minimum par 200%
Pa kpv n dÃ©putÃ© gain 16 fois plus ki salaire minimum ek premier ministre gain plus ki 50 fois salaire minimum la... Moi mo conseiller ki salaire ban ministre la baisse par 80% Ã§a veut dire PM pa gain plus ki 100k ministre 60k dÃ©putÃ© 32k...",0
Tess Marday,0
