Link to Post,Source,Comments,Labels
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to fesse do @ $ 123 %,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1092061424603216/?anchor_composer=false&refid=18&_ft_=qid.6940953756254385806%3Amf_story_key.1092061424603216%3Atop_level_post_id.1092061424603216%3Atl_objid.1092061424603216%3Acontent_owner_id_new.100042962865803%3Aoriginal_content_id.10164808555715277%3Aoriginal_content_owner_id.722985276%3Apage_id.867119693764058%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_kPOK0uDjqvue9&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Voilà quand on nage dans le 💩💩 on n'a que de la matière fécale qui en sort.,1
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,alor 2 semain total lockdwn..dimun ki ramass salter la pa pu travail..la police em p gagne virus ..sa planteur ki ena legum la le ss li fer deficit..c ki ena farm vache less zt mor..c ki travay da pharmacy plito ferm li..1700 dimun da quarantaine pa bizin travailer pu. guet zt ? mo res da londre mon res 1 an da lockdown..dimun ki ena pu travail bizin continuer travail..,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,"En attendant il y'a l'Inde qui est arrivé sur l'île sans passer en quarantaine et les jets privés c'est pareil ce variant car il ne peut êtes que celui là est bien arriver par quelqu'un le contact dressing ""c'est comme ça que vous le dite "" dois vous apprendre d'où c'est arrivé.",0
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Harish Salvarat lol there's a different between complaining and point of view. If you don't like my comment you can scroll.,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1095724237570268/?anchor_composer=false&refid=18&_ft_=qid.6941464664189291790%3Amf_story_key.1095724237570268%3Atop_level_post_id.1095724237570268%3Atl_objid.1095724237570268%3Acontent_owner_id_new.100000501597216%3Apage_id.867119693764058%3Asrc.22%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_p6b2T4sX8sQ3e&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Tou sa langage ena la kifer to koz zis kk. Ban chatwi ress cumsa mem non #chatwi,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1096571710818854/?anchor_composer=false&refid=18&ref=content_filter&_ft_=qid.6941463800809400586%3Amf_story_key.1096571710818854%3Atop_level_post_id.1096571710818854%3Atl_objid.1096571710818854%3Acontent_owner_id_new.100042962865803%3Aoriginal_content_id.459439345509674%3Aoriginal_content_owner_id.110852290368383%3Apage_id.110852290368383%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_uAnhUp1blwlnx&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Iqbal Iqbal mamou paret ou pas cner ki apel maintenir 1 bon relation r 1 pays... Si soodun pas ti maintenir 1 non relation r larabie pas ti pou Gagne soutien e si pravind pas ti maintenir 1 bon relation r linde pas ti pou Gagne laide em si to ti p contributer par milliard,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Dire li boufon la si perna role souffler souffler,1
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Sa in mangé sa comie zor in donne toi,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1066958287143286/?anchor_composer=false&refid=18&_ft_=qid.6941503482104563363%3Amf_story_key.1066958287143286%3Atop_level_post_id.1066958287143286%3Atl_objid.1066958287143286%3Acontent_owner_id_new.100027855523395%3Aoriginal_content_id.2714149318805797%3Aoriginal_content_owner_id.100010765571066%3Apage_id.850723902100060%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX86-5KAiQkhH5MX&__tn__=%2AW-R,PRENDCOMPTELEPEP,Fairytailsjonath Fairytails Sa dinasty sa ve dire pa pou capave bouger de pi la dapres ou lopiyon,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Judex Sutrooghen dapres lordre to em en charge loka Roche noir,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,souce la grain la.,1
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Camion la pa souvent sa kit foi en 1 mois n foi humain mem sa non mo pa compren ene peuple adorable coumsa p pass miser eh zot dominer apel sa oubien si ou le apel sa get 2 lizie parski pa tou rodriguais ki pena dilo aret fer dominer ar ti dimun la vie n karma sa,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1042890612883387/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpK7uDBDXHYXGk8gHVj2F-j4sSza7WPibGCiOR6kmKtt_ul3GAI42gr_OENXZiwzfotaNiZ8gb9OVPFI5fAZXNhrlraRW750-Ql7BVtSkmsfR8rX3wpRV9VB1bnnq01iJN2djvckC3uMQ74t510C_9G9WiTZx0h6jHCIf3q6zfVmBIxd20eoFpkaT2vjyMhS7uTo3wZyVlhFc8z-kZvgOS9iA8DqanUFcaOE1Hn6DVK9iH0qk_gsIYiR85X9W6Bl_cSept-1QPM1zLJAcRNOLN8HBp2JshNn-QrVF7l1Da9LQZb5UVFHdf65bFc9c5f1hEvjkjp421KNcQaHI4p4dCGKPm-Ju2Z3gMWg_oC7vXJQZguPpudxPbHi-aCsLrvtQg,PRENDCOMPTELEPEP,Abé zot manz dan mem lassiette,0
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Plan de dessalement.. C ouuu???? 🤔 🤔 🤔 🤔,0
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,"Padiachy Navin astère zotte souffert kan tou ti korect zotte ti p faire dominère avec consomateur vanne zotte fruit pli cher e zotte plaigné. Si zordi nou p arrivé ene situation pareille tou sa la a cause banne dimoune coumsa même toujour rode faire Di tort zotte prochain. Tou commerce koumsa même, prix monter kan demande zotte zotte dire à koze kovid e avan zotte dire euro ou livre sterlin inn monter. Dire MRA allé faire ene lenkett lor zotte revenu. Zordi marsan dholl puri /farata/pomme de terre/oignon millionaire e zotte gagne toupet vinne dire situation dan baize.",0
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ya Aaz non li deja wadir fruit sec kt aziim bhai la 🤣,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1056866194819162/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.Abr03eSsJIuhOBxgSwlNTYnR6_vZKO2QT9k2K09XoTZkplk0w4n0YY2NyNTeG-bVpoQR34u9Cuz2IzwmfWAvpPsSwUTr3NrBfbwPwL3-aojFT3JtChDjqWwYHB31Z1YINTaNPelrpR_fT9HdSALqHRcusCmWatLLZzPnic2EqwH8K1GMHO4L9EjSnBVqXn3hmkXkf_ItFaHqQm7RASEhY7l6xwmafq1SG05gDmNYficgin0qCeMHS-mZLtSPolkoJeeYVSXBrR0Rq6Mq9Mwcu8xbcdGl-0uwHuAR1S7RM7z6VWixFBqg_sPeYWizslZ8KYraujuYXfBB6JzWD2yLemKBWRHAoAS3gDQ0AAgbftuRNJN_f5EH7ipE71Ps20RknWo,PRENDCOMPTELEPEP,Bien dir sa zom li pou la grand fami 👪 MAURICIEN 🇲🇺 pa pou kit plock so mama ou mari so mama,1
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Heeyyy mone fek aste demie liv lalo 35 rs.......la.....ki to p rode....,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,T payé combien pour dire ça???,0
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Jaime tous se ceke vous ve pour nou arsam nou pou bat coranavuris et covid 19. ok singe ciara mascarine.,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"Hell Heaven ayo ala ene couyon ki content declare malin. Sa mo bizin explik ou mem sa pou ki ou capave compran. Mone dire nu pas content nek cozer, nou bannes dimounes d'actions, a aucun moment mo bannes dire ki mo muet. Apre pou ou 'general information' bannes personnes ki pa conne cozer, zot capave lire ecrire sa dow... Croire moi mo p dire ou. Alle verifier dans bannes ecoles sourdes e muets montrer lire e ecrire tou. Mo sure si ou pou alle verifier ou pou vine remercier moi parski oune resi apran ene nouvo zafer grace a moi.",1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ou ena grand courage pou met n poste aussi stupide... A cause zot negligence c le PEP ki p besoin paye consequence. My foot Pinok.,0
https://m.facebook.com/story.php?story_fbid=10159336076559540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Moi mo dir beaucoup signe bondié p envoyer pa preser pou ena la lumière ki pou fer la justice triomphé 🙏,0
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Really? Good then!,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090309724778386/?anchor_composer=false&refid=18&_ft_=qid.6941467511697455894%3Amf_story_key.1090309724778386%3Atop_level_post_id.1090309724778386%3Atl_objid.1090309724778386%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX9DH_pC5x6BzxiU&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Pran to pravind met dan to f... Hehehe,1
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ange Lie oui p vine dir confinement pna sa arete embête dimoune,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,"Zotte la pour fer palab zis comand famme palabez.PM pe fer so travail ,si to capave ale remplace li mo Frere.",0
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Rebecca Larose zot vol tout.,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1092807001195325/?anchor_composer=false&refid=18&_ft_=qid.6940953970983958712%3Amf_story_key.1092807001195325%3Atop_level_post_id.1092807001195325%3Atl_objid.1092807001195325%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.1271157196337260%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX8L9cfkmWd6ejcj&__tn__=*W-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Chatwa roder boute,0
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,"L'année dernière bien monte tou prix, sa l'année p plaigner.. KARMA! Sorry..",0
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Sa problm delo la encor miser zot pu passer . Rodrig sorry kumarsh fer bassin ramas delo garde... moris dan dife kote delo parski moricien kanton ranze bel bel batiment ek bouss passage delo.,0
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Diana Prosper penan confinement a maurice dutout .,0
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Nigel Quirin paconai ena p tire lavie lor prix legume,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1066958287143286/?anchor_composer=false&refid=18&_ft_=qid.6941503482104563363%3Amf_story_key.1066958287143286%3Atop_level_post_id.1066958287143286%3Atl_objid.1066958287143286%3Acontent_owner_id_new.100027855523395%3Aoriginal_content_id.2714149318805797%3Aoriginal_content_owner_id.100010765571066%3Apage_id.850723902100060%3Asrc.22%3Astory_location.6%3Aattached_story_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX86-5KAiQkhH5MX&__tn__=%2AW-R,PRENDCOMPTELEPEP,"Berenger pou fer li rever....couma prem Nababsingh, Madan Dulloo, Ashok Jugnauth, ....aster attann nando...lerla so tour....lol...! Mais si likit sa la main propre ki appel Berenger ek xaxa..lerla kapav pense lor la..! Afin....tous kapav aspire vinn PM...kifer non...! Meme Mr Malin kapav vinn PM...bizin ki Paul pense lors la..car li pe amenn role la bien..! En tous cas...seki pou marse ek sa boug la ..pou reste tous les temps rever meme...Car la majoriter finn comprend so vrai role....( Fais ce que je dis ....ne fais pas ce que je fais) ...",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062402077598907/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpdZiXmPEW2QYO7qZxPT2hN65nAvm2m-KZSDSbJt0V2uwd5hetXR4IUx83RRSdKDwxNoujqknsGAiwzndzgthJKh8FKL6vbtPNqGK8Nu9x6wiGnXtNfXq_VLaW6kSxAyo8edGyHwC1IMoh8XzmdmZy6MamxwtYq3Vs3soAoxIw2_4OArFPG3YDtbJdklH56GCCICrFfX9Cxq1pwPAAeSOY7IkaaZTEnaTAG_QxvJOv-vD3s3XB_o6xT7fumvnAI8goCNoFmpjrmqgrJD3CMn74nQ0QIvci0tWlXpCMMay0GdCVu6wteFeYO5jDSVZkFtYUIgZyMG2BxO2FWA_q3Barvj4vWAxE2UIla2kUnzTPdOMWavopE0zAUIdFaZRjOdhY,PRENDCOMPTELEPEP,Jean Alex Agathe oui MO p trv. Lol,0
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,"Boolaky Akilesh loool. La pluie pas tomber rodrigues? Manque reservoir et dam dans rodrigues, c pas la pluie ki pose probleme.",0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"AH BON KUMSA LI MARI FORT KI LI FER SO BANN KAMARADE RENTE DAN MORIS PAS PASS 40ENN ?
ESKI SUDAN TI PASS 40ENN ?
KOMIE GRAN BUSINESSMAN KI PAS FER 40ENN....MARI FORT SA.....",0
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,🙄,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1056866194819162/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.Abr03eSsJIuhOBxgSwlNTYnR6_vZKO2QT9k2K09XoTZkplk0w4n0YY2NyNTeG-bVpoQR34u9Cuz2IzwmfWAvpPsSwUTr3NrBfbwPwL3-aojFT3JtChDjqWwYHB31Z1YINTaNPelrpR_fT9HdSALqHRcusCmWatLLZzPnic2EqwH8K1GMHO4L9EjSnBVqXn3hmkXkf_ItFaHqQm7RASEhY7l6xwmafq1SG05gDmNYficgin0qCeMHS-mZLtSPolkoJeeYVSXBrR0Rq6Mq9Mwcu8xbcdGl-0uwHuAR1S7RM7z6VWixFBqg_sPeYWizslZ8KYraujuYXfBB6JzWD2yLemKBWRHAoAS3gDQ0AAgbftuRNJN_f5EH7ipE71Ps20RknWo,PRENDCOMPTELEPEP,Comment Grand Bassin ine vinne lieu sacré? C'est un volcan qui pena narien à faire avec Hindouisme.,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Angie Romina damm why ahahaha,0
https://m.facebook.com/story.php?story_fbid=10159336076559540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Zot croire pou narien le 12 mars ti decor sa gros badia la,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091978571278168/?anchor_composer=false&refid=18&_ft_=qid.6941468065731622330%3Amf_story_key.1091978571278168%3Atop_level_post_id.1091978571278168%3Atl_objid.1091978571278168%3Acontent_owner_id_new.100060360696812%3Apage_id.867119693764058%3Atext_formatting.146487026137131%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_m_xffl5PgHlBr&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"Rode kikene dan la cuisine. Ene parmi sa banla... Pravind, Bobby, Jagatpal, Sawmynaden..",0
https://m.facebook.com/story.php?story_fbid=10159335762834540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,gouvernema p fat yen tram MEM RODRIGUES PENA DELO KOREK CA POUVI P ARANZE LA PISTE AVION DAN AGALEGA APRES ZOT DIR OU DEVLOPMA TON,1
https://m.facebook.com/story.php?story_fbid=4134741799922145&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Ou cone Bousou ??,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1090628274746531/?anchor_composer=false&refid=18&_ft_=qid.6941468383557116233%3Amf_story_key.1090628274746531%3Atop_level_post_id.1090628274746531%3Atl_objid.1090628274746531%3Acontent_owner_id_new.100053352694039%3Apage_id.867119693764058%3Atext_formatting.518596398537417%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Atds_flgs.3%3Aott.AX_18I7ojUY3uWcc&__tn__=%2AW-R,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Nels Modliar,0
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,"Si dimoune ti malade so parent pas ti pou recalcitrant, bane bajas !!!!",1
https://m.facebook.com/story.php?story_fbid=10159327255709540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Davina Bansropun,0
https://m.facebook.com/story.php?story_fbid=4134408573288801&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Moi pa p faire confiance vaccin la ditou. Ler moi p get sa bne CLOSE ki ena encore lor la la.. Moi pli pa envi ale faire vaccin. Moi prefere die avec covid ki enleve moi mo bne droit. Deza moi pa faire politicien confiance la mo penC mo ena droit pa envi ale faire,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1062500227589092/?anchor_composer=false&ref=content_filter,PRENDCOMPTELEPEP,mamou ou ti p dire ki la gazette p crée chikose dans morice et zot p faire marketing pou banne capitaliste concert lockdown mais aster ena lockdown ou pou dire ki pravind oussi complice.Mo respect ou et mo suive ou mais parfois ou trop presser pou faire conclusion ou analyse.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1042890612883387/?anchor_composer=false&ref=content_filter&__xts__%5B0%5D=12.AbpK7uDBDXHYXGk8gHVj2F-j4sSza7WPibGCiOR6kmKtt_ul3GAI42gr_OENXZiwzfotaNiZ8gb9OVPFI5fAZXNhrlraRW750-Ql7BVtSkmsfR8rX3wpRV9VB1bnnq01iJN2djvckC3uMQ74t510C_9G9WiTZx0h6jHCIf3q6zfVmBIxd20eoFpkaT2vjyMhS7uTo3wZyVlhFc8z-kZvgOS9iA8DqanUFcaOE1Hn6DVK9iH0qk_gsIYiR85X9W6Bl_cSept-1QPM1zLJAcRNOLN8HBp2JshNn-QrVF7l1Da9LQZb5UVFHdf65bFc9c5f1hEvjkjp421KNcQaHI4p4dCGKPm-Ju2Z3gMWg_oC7vXJQZguPpudxPbHi-aCsLrvtQg,PRENDCOMPTELEPEP,Pour moi personnellement nous bzn arête penC ki ena zis pravin navin paul ki kav diriz sa pays la..,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mo ggt,1
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,"Vero LA Chiante Le Ministre avait dit que les resultats des tests tombent à douze heures, à 16 heures et pendant la soirée.",0
https://m.facebook.com/story.php?story_fbid=10159336076559540&id=100761789539&anchor_composer=false&__tn__=%2AW-R,Lexpress,Zt ti cone nat dans coute vent acause sa amene ban l'inde pour kit corona r nous et zafaire teigne nous morisien nous pas l'inde ale comprend,0
https://m.facebook.com/story.php?story_fbid=4134319749964350&id=108299339233098&anchor_composer=false&__tn__=%2AW-R,Defimedia,Shammir Peerbocus ouai vraie.,0
